deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
62,0.5580952380952381,0.648,0.5596124589638882,0.6385299063175593,0.3333333333333333,0.3968253968253968,0.7828571428571428,0.431047714472591,0.3387096774193548,0.032258064516129,,,,credit-g,lr,23,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5495238095238095,0.684,0.542601727691702,0.6443271034530674,0.2133333333333333,0.4444444444444444,0.8857142857142857,0.4402013123502987,,,0.0,62.0,,credit-g,lr,23,symmetric,0.2,0.2,0.1,0.15,smote
0,0.5295238095238095,0.512,0.4978266596417281,0.531572708113804,0.5733333333333334,0.3233082706766917,0.4857142857142857,0.4252402410967955,,,0.0,62.0,,credit-g,lr,23,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5476190476190477,0.708,0.5256660168940871,0.6433008447043534,0.1466666666666666,0.55,0.9485714285714286,0.4750645954743411,,,0.0,0.0,,credit-g,lr,29,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6361904761904762,0.704,0.6391229712858927,0.7003277153558054,0.4666666666666667,0.5072463768115942,0.8057142857142857,0.4780202653976756,0.2903225806451613,0.032258064516129,,,,credit-g,lr,29,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5352380952380952,0.664,0.5285560344827587,0.6296336206896551,0.2133333333333333,0.3902439024390244,0.8571428571428571,0.459917514189507,,,0.0,62.0,,credit-g,lr,29,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6142857142857143,0.588,0.5742042166184373,0.6048615130219099,0.68,0.3923076923076923,0.5485714285714286,0.4437117909489958,,,0.0,62.0,,credit-g,lr,29,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5361904761904762,0.708,0.5010798545613604,0.629601684026354,0.1066666666666666,0.5714285714285714,0.9657142857142856,0.4833744504467703,,,0.0,0.0,,credit-g,lr,31,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6285714285714286,0.704,0.6329365079365079,0.6975396825396826,0.44,0.5076923076923077,0.8171428571428572,0.4982454989468658,0.3064516129032258,0.0483870967741935,,,,credit-g,lr,31,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5828571428571429,0.72,0.5809788334450723,0.6775213102193276,0.24,0.5806451612903226,0.9257142857142856,0.4860834315329417,,,0.0,62.0,,credit-g,lr,31,symmetric,0.2,0.2,0.1,0.15,smote
0,0.618095238095238,0.572,0.564410284802397,0.5874094217648304,0.7333333333333333,0.3873239436619718,0.5028571428571429,0.4722269155869324,,,0.0,62.0,,credit-g,lr,31,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5495238095238095,0.716,0.52309304387544,0.644418173513528,0.1333333333333333,0.625,0.9657142857142856,0.5090180139675333,,,0.0,0.0,,credit-g,lr,37,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6085714285714285,0.692,0.612917496129175,0.6829020128290201,0.4,0.4838709677419355,0.8171428571428572,0.5155635653535613,0.3387096774193548,0.0483870967741935,,,,credit-g,lr,37,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5838095238095238,0.716,0.5835190877308243,0.6774771815387503,0.2533333333333333,0.5588235294117647,0.9142857142857144,0.5106685180563831,,,0.0,62.0,,credit-g,lr,37,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6123809523809525,0.58,0.5683914566171755,0.5967049770630888,0.6933333333333334,0.3880597014925373,0.5314285714285715,0.4822085322161082,,,0.0,62.0,,credit-g,lr,37,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5952380952380952,0.716,0.5990965556182948,0.6856916996047431,0.2933333333333333,0.55,0.8971428571428571,0.5190175322710758,,,0.0,0.0,,credit-g,lr,41,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6133333333333333,0.672,0.6124470659407139,0.6732153660012099,0.4666666666666667,0.4545454545454545,0.76,0.4990410081111903,0.3548387096774194,0.0161290322580645,,,,credit-g,lr,41,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6161904761904762,0.692,0.61970801477706,0.6860309369999408,0.4266666666666667,0.4848484848484848,0.8057142857142857,0.5249834545476699,,,0.0,62.0,,credit-g,lr,41,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6904761904761905,0.652,0.6403472509301364,0.6662422488631665,0.7866666666666666,0.4538461538461538,0.5942857142857143,0.5231408302056706,,,0.0,62.0,,credit-g,lr,41,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5752380952380952,0.736,0.5604219948849105,0.6715473145780051,0.1733333333333333,0.7647058823529411,0.9771428571428572,0.4904457111726057,,,0.0,0.0,,credit-g,lr,43,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6095238095238096,0.688,0.6130952380952381,0.6811904761904762,0.4133333333333333,0.4769230769230769,0.8057142857142857,0.4875172126229254,0.2903225806451613,0.0483870967741935,,,,credit-g,lr,43,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6038095238095238,0.712,0.60967993754879,0.6896174863387978,0.3333333333333333,0.5319148936170213,0.8742857142857143,0.4797547391331731,,,0.0,62.0,,credit-g,lr,43,symmetric,0.2,0.2,0.1,0.15,smote
0,0.5619047619047619,0.52,0.512987012987013,0.5363636363636364,0.6666666666666666,0.3448275862068966,0.4571428571428571,0.4883437170301915,,,0.0,62.0,,credit-g,lr,43,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5580952380952381,0.728,0.5311120917917034,0.6526478375992938,0.1333333333333333,0.7692307692307693,0.9828571428571428,0.5882147062342662,,,0.0,0.0,,credit-g,lr,47,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6876190476190476,0.76,0.6969941822882999,0.752262443438914,0.5066666666666667,0.6229508196721312,0.8685714285714285,0.5900304450640597,0.2903225806451613,0.064516129032258,,,,credit-g,lr,47,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6123809523809524,0.74,0.6187146577817406,0.7047326309861799,0.2933333333333333,0.6470588235294118,0.9314285714285714,0.5769137545126664,,,0.0,62.0,,credit-g,lr,47,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7238095238095238,0.688,0.675,0.701,0.8133333333333334,0.488,0.6342857142857142,0.5771019289374127,,,0.0,62.0,,credit-g,lr,47,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5876190476190476,0.716,0.5889205400773524,0.6803446119641493,0.2666666666666666,0.5555555555555556,0.9085714285714286,0.4780394333886893,,,0.0,0.0,,credit-g,lr,53,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6476190476190476,0.704,0.6476190476190476,0.704,0.5066666666666667,0.5066666666666667,0.7885714285714286,0.5006611178894376,0.3225806451612903,0.0483870967741935,,,,credit-g,lr,53,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5828571428571429,0.672,0.5858920491273433,0.6614253393665159,0.36,0.4426229508196721,0.8057142857142857,0.4661718666217766,,,0.0,62.0,,credit-g,lr,53,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6342857142857143,0.6,0.5883825079030558,0.6160432033719705,0.72,0.4060150375939849,0.5485714285714286,0.4755682404570799,,,0.0,62.0,,credit-g,lr,53,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.6576150185087255,0.8679245283018868,0.6931348221670802,0.8485728108369616,0.3442622950819672,0.7,0.970967741935484,0.541313518972292,,,0.0,0.0,,yeast,lr,13,symmetric,0.2,0.2,0.1,0.15,no_cleaning
109,0.7601269169751455,0.8301886792452831,0.7271326336434851,0.8396806834454487,0.6557377049180327,0.4878048780487805,0.864516129032258,0.541881919511402,0.4128440366972477,0.0458715596330275,,,,yeast,lr,13,symmetric,0.2,0.2,0.1,0.15,class_proportional
