deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.5171428571428571,0.708,0.45127634625214225,0.6014071379175562,0.04,0.75,0.9942857142857143,,,0.0,0.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5904761904761905,0.704,0.5942982456140351,0.6786842105263158,0.30666666666666664,0.5111111111111111,0.8742857142857143,0.27419354838709675,0.06451612903225806,,,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5866666666666667,0.624,0.5786718301778543,0.6339500860585198,0.49333333333333335,0.3978494623655914,0.68,,,0.0,62.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5714285714285714,0.72,0.5625,0.6675,0.2,0.6,0.9428571428571428,,,0.0,62.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.5714285714285714,0.704,0.5687645687645688,0.6653613053613053,0.24,0.5142857142857142,0.9028571428571428,,,0.0,62.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5266666666666666,0.716,0.46630987101235755,0.6123274903033765,0.05333333333333334,1.0,1.0,,,0.0,0.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5961904761904762,0.712,0.6006744165409531,0.6850119797675038,0.30666666666666664,0.5348837209302325,0.8857142857142857,0.27419354838709675,0.03225806451612903,,,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6057142857142856,0.64,0.5966006884681583,0.6495266781411361,0.52,0.41935483870967744,0.6914285714285714,,,0.0,62.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5466666666666666,0.696,0.5319735934574834,0.6428022465267514,0.17333333333333334,0.48148148148148145,0.92,,,0.0,62.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.5752380952380952,0.704,0.5742820324005891,0.6682805596465391,0.25333333333333335,0.5135135135135135,0.8971428571428571,,,0.0,62.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.540952380952381,0.72,0.49919871794871795,0.6322115384615384,0.09333333333333334,0.7777777777777778,0.9885714285714285,,,0.0,0.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.62,0.74,0.6284100523655988,0.7098625688870596,0.32,0.631578947368421,0.92,0.24193548387096775,0.03225806451612903,,,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
