deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method
0,0.7045970149253731,0.6796796796796797,0.7611940298507462,,,0,271,,pima,lr,67,plain_smote
0,0.7165970149253731,0.6940880503144654,0.7611940298507462,,,0,275,,pima,lr,67,oof_filtered_smote
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,71,no_cleaning
44,0.6734925373134328,0.6842878634153169,0.40298507462686567,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,71,class_proportional
0,0.7245970149253731,0.703695389881871,0.7611940298507462,,,0,275,,pima,lr,71,plain_smote
0,0.7725970149253731,0.7617659789352186,0.7611940298507462,,,0,279,,pima,lr,71,oof_filtered_smote
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,73,no_cleaning
44,0.640179104477612,0.6433436532507739,0.3283582089552239,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,73,class_proportional
0,0.6768955223880597,0.6684701277771383,0.6417910447761194,,,0,281,,pima,lr,73,plain_smote
0,0.6585074626865671,0.6535909672913514,0.5970149253731343,,,0,285,,pima,lr,73,oof_filtered_smote
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,79,no_cleaning
44,0.5914029850746269,0.5791383219954649,0.23880597014925373,0.45454545454545453,0.045454545454545456,0,0,,pima,lr,79,class_proportional
0,0.5868059701492537,0.5858033629835397,0.47761194029850745,,,0,281,,pima,lr,79,plain_smote
0,0.6211940298507462,0.6198469221903721,0.5223880597014925,,,0,285,,pima,lr,79,oof_filtered_smote
0,0.5706268656716418,0.5334338863750628,0.14925373134328357,,,0,0,,pima,lr,83,no_cleaning
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,0,0,,pima,lr,83,class_proportional
0,0.7728358208955224,0.73964300539643,0.8656716417910447,,,0,267,,pima,lr,83,plain_smote
0,0.7424477611940299,0.7126385809312639,0.8208955223880597,,,0,271,,pima,lr,83,oof_filtered_smote
