budget,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
0.1,credit-g,hgb,random_deletion,0.5467,0.0199,0.5225,0.0292,0.1413,0.0372,0.1226,0.0436,0.0839,0.031
0.1,credit-g,lr,class_proportional,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_m,0.6246,0.0218,0.6326,0.0253,0.352,0.0563,0.2065,0.0331,0.0226,0.0088
0.1,credit-g,lr,crcc_p_l0,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_p_l025,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_p_l05,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_p_l10,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,global_top_loss,0.5608,0.0172,0.5395,0.0292,0.1547,0.0428,0.5613,0.0552,0.4387,0.0552
0.1,credit-g,lr,no_cleaning,0.5291,0.0142,0.4775,0.0307,0.072,0.0384,0.0,0.0,0.0,0.0
0.1,credit-g,lr,oracle_deletion,0.5606,0.0252,0.533,0.0436,0.136,0.0511,1.0,0.0,0.0,0.0
0.1,credit-g,lr,random_deletion,0.5455,0.0211,0.5086,0.0383,0.1093,0.0502,0.1226,0.0436,0.0839,0.031
0.1,ecoli,hgb,class_proportional,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_m,0.7514,0.1472,0.7422,0.1281,0.6105,0.2897,0.2609,0.0532,0.0174,0.0238
0.1,ecoli,hgb,crcc_p_l0,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_p_l025,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_p_l05,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_p_l10,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,global_top_loss,0.7326,0.0968,0.7565,0.1044,0.5053,0.1883,0.6783,0.0659,0.2609,0.0435
0.1,ecoli,hgb,no_cleaning,0.6745,0.1196,0.6847,0.1225,0.4105,0.2452,0.0,0.0,0.0,0.0
0.1,ecoli,hgb,oracle_deletion,0.7769,0.0932,0.7967,0.0843,0.6,0.1846,1.0,0.0,0.0,0.0
0.1,ecoli,hgb,random_deletion,0.6881,0.114,0.7023,0.1243,0.4316,0.2276,0.087,0.0435,0.1043,0.1134
