deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,budget
22,0.6047164179104478,0.6036805093936956,0.31343283582089554,0.3181818181818182,0.045454545454545456,pima,hgb,47,crcc_p_l025,0.05
22,0.6047164179104478,0.6036805093936956,0.31343283582089554,0.3181818181818182,0.045454545454545456,pima,hgb,47,crcc_p_l05,0.05
22,0.6047164179104478,0.6036805093936956,0.31343283582089554,0.3181818181818182,0.045454545454545456,pima,hgb,47,crcc_p_l10,0.05
22,0.6340298507462687,0.6392914653784219,0.3880597014925373,0.2727272727272727,0.0,pima,hgb,47,crcc_m,0.05
0,0.542089552238806,0.5135135135135135,0.16417910447761194,0.0,0.0,pima,hgb,61,no_cleaning,0.05
22,0.550089552238806,0.5205244264086155,0.16417910447761194,0.2727272727272727,0.13636363636363635,pima,hgb,61,random_deletion,0.05
22,0.5551641791044776,0.5139240506329115,0.13432835820895522,0.5909090909090909,0.4090909090909091,pima,hgb,61,global_top_loss,0.05
22,0.5812537313432835,0.5780219780219781,0.29850746268656714,0.3181818181818182,0.045454545454545456,pima,hgb,61,class_proportional,0.05
22,0.5604776119402985,0.5425848719475879,0.208955223880597,1.0,0.0,pima,hgb,61,oracle_deletion,0.05
22,0.5812537313432835,0.5780219780219781,0.29850746268656714,0.3181818181818182,0.045454545454545456,pima,hgb,61,crcc_p_l0,0.05
22,0.5812537313432835,0.5780219780219781,0.29850746268656714,0.3181818181818182,0.045454545454545456,pima,hgb,61,crcc_p_l025,0.05
22,0.5812537313432835,0.5780219780219781,0.29850746268656714,0.3181818181818182,0.045454545454545456,pima,hgb,61,crcc_p_l05,0.05
22,0.5812537313432835,0.5780219780219781,0.29850746268656714,0.3181818181818182,0.045454545454545456,pima,hgb,61,crcc_p_l10,0.05
22,0.6041791044776119,0.6043956043956044,0.3283582089552239,0.22727272727272727,0.0,pima,hgb,61,crcc_m,0.05
0,0.5874029850746268,0.5751415819675205,0.23880597014925373,0.0,0.0,pima,hgb,83,no_cleaning,0.05
22,0.5570149253731344,0.5356009070294785,0.19402985074626866,0.09090909090909091,0.2727272727272727,pima,hgb,83,random_deletion,0.05
