noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
high,pima,hgb,global_top_loss,0.536,0.0476,0.4939,0.0719,0.1343,0.0967,0.7045,0.0923,0.2682,0.0871
high,pima,hgb,no_cleaning,0.5459,0.0572,0.5265,0.0733,0.2149,0.114,0.0,0.0,0.0,0.0
high,pima,hgb,oracle_deletion,0.5682,0.0355,0.5428,0.053,0.194,0.0824,1.0,0.0,0.0,0.0
high,pima,hgb,random_deletion,0.5432,0.0481,0.5202,0.0663,0.2,0.1085,0.2273,0.0622,0.0864,0.0373
high,pima,lr,class_proportional,0.6746,0.0429,0.6827,0.0469,0.4388,0.1005,0.4136,0.0493,0.0318,0.0345
high,pima,lr,crcc_m,0.6779,0.035,0.6865,0.037,0.4597,0.086,0.3091,0.038,0.0091,0.0124
high,pima,lr,crcc_p_l0,0.6746,0.0429,0.6827,0.0469,0.4388,0.1005,0.4136,0.0493,0.0318,0.0345
high,pima,lr,crcc_p_l025,0.6746,0.0429,0.6827,0.0469,0.4388,0.1005,0.4136,0.0493,0.0318,0.0345
high,pima,lr,crcc_p_l05,0.6746,0.0429,0.6827,0.0469,0.4388,0.1005,0.4136,0.0493,0.0318,0.0345
high,pima,lr,crcc_p_l10,0.6746,0.0429,0.6827,0.0469,0.4388,0.1005,0.4136,0.0493,0.0318,0.0345
high,pima,lr,global_top_loss,0.5674,0.0483,0.5261,0.076,0.1493,0.0979,0.8318,0.0614,0.1682,0.0614
high,pima,lr,no_cleaning,0.5178,0.0238,0.4323,0.0471,0.0388,0.049,0.0,0.0,0.0,0.0
high,pima,lr,oracle_deletion,0.5304,0.025,0.458,0.048,0.0657,0.0523,1.0,0.0,0.0,0.0
high,pima,lr,random_deletion,0.5192,0.0269,0.4371,0.0502,0.0448,0.0528,0.2273,0.0622,0.0864,0.0373
high,yeast,hgb,class_proportional,0.6285,0.0183,0.6184,0.0243,0.4131,0.0293,0.3633,0.0335,0.0275,0.0225
high,yeast,hgb,crcc_m,0.6305,0.0156,0.6166,0.014,0.4262,0.0418,0.2642,0.0199,0.011,0.0151
