deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.6156417910447761,0.6175824175824176,0.34328358208955223,,,0.0,0.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6561194029850747,0.6561194029850747,0.5522388059701493,,,0.0,44.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5447619047619048,0.5084821930120211,0.10666666666666667,,,0.0,0.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.6323809523809524,0.6422066094197242,0.37333333333333335,0.2903225806451613,0.016129032258064516,,,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5933333333333334,0.595250944414463,0.26666666666666666,,,0.0,62.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6276190476190476,0.635853159105782,0.38666666666666666,,,0.0,0.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6457142857142857,0.6370499419279907,0.56,,,0.0,62.0,,credit-g,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.540952380952381,0.49919871794871795,0.09333333333333334,,,0.0,0.0,,credit-g,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5847619047619047,0.5857879234167894,0.26666666666666666,0.22580645161290322,0.08064516129032258,,,,credit-g,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5580952380952381,0.5431008224185196,0.17333333333333334,,,0.0,62.0,,credit-g,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6285714285714286,0.6329365079365079,0.44,,,0.0,0.0,,credit-g,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6695238095238095,0.6558751497166557,0.6133333333333333,,,0.0,62.0,,credit-g,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5171428571428571,0.45127634625214225,0.04,,,0.0,0.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5904761904761905,0.5942982456140351,0.30666666666666664,0.27419354838709675,0.06451612903225806,,,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5742857142857143,0.565480238796947,0.2,,,0.0,62.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.5685714285714286,0.5707399822089824,0.32,,,0.0,0.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.5866666666666667,0.5786718301778543,0.49333333333333335,,,0.0,62.0,,credit-g,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5266666666666666,0.46630987101235755,0.05333333333333334,,,0.0,0.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5961904761904762,0.6006744165409531,0.30666666666666664,0.27419354838709675,0.03225806451612903,,,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5485714285714286,0.5304091785968118,0.16,,,0.0,62.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6085714285714285,0.612917496129175,0.4,,,0.0,0.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6057142857142856,0.5966006884681583,0.52,,,0.0,62.0,,credit-g,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.540952380952381,0.49919871794871795,0.09333333333333334,,,0.0,0.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.62,0.6284100523655988,0.32,0.24193548387096775,0.03225806451612903,,,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5704761904761905,0.5587219564605663,0.18666666666666668,,,0.0,62.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.5876190476190477,0.5914272119820434,0.3466666666666667,,,0.0,0.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6409523809523809,0.6290602263179534,0.5733333333333334,,,0.0,62.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5304761904761905,0.4770028580688883,0.06666666666666667,,,0.0,0.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.6104761904761905,0.6172176575877165,0.3466666666666667,0.25806451612903225,0.04838709677419355,,,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.58,0.5715126243892457,0.2,,,0.0,62.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.618095238095238,0.6229715871388068,0.41333333333333333,,,0.0,0.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6466666666666667,0.6283080582812964,0.6133333333333333,,,0.0,62.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5533333333333333,0.5310559826688859,0.14666666666666667,,,0.0,0.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5914285714285714,0.5953780910040769,0.36,0.22580645161290322,0.04838709677419355,,,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5676190476190476,0.5673972845860324,0.26666666666666666,,,0.0,62.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6190476190476191,0.6190476190476191,0.4666666666666667,,,0.0,0.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6552380952380952,0.6386009449263099,0.6133333333333333,,,0.0,62.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5247619047619048,0.472710987836237,0.06666666666666667,,,0.0,0.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5971428571428572,0.6020410388364335,0.32,0.24193548387096775,0.06451612903225806,,,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.560952380952381,0.5459312885318871,0.17333333333333334,,,0.0,62.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6495238095238095,0.6517297422800092,0.49333333333333335,,,0.0,0.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6123809523809525,0.5953636506030386,0.5733333333333334,,,0.0,62.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5142857142857142,0.44940476190476186,0.04,,,0.0,0.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.6000000000000001,0.6037296037296037,0.28,0.24193548387096775,0.04838709677419355,,,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5571428571428572,0.5386614684860299,0.16,,,0.0,62.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6457142857142857,0.6568291008922443,0.4,,,0.0,0.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6657142857142857,0.6538454622286958,0.6,,,0.0,62.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.539047619047619,0.5035304501323918,0.10666666666666667,,,0.0,0.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5866666666666667,0.5904737903225806,0.3333333333333333,0.25806451612903225,0.06451612903225806,,,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5666666666666667,0.5652173913043479,0.25333333333333335,,,0.0,62.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6457142857142857,0.648876404494382,0.48,,,0.0,0.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6447619047619048,0.6311701238912886,0.5866666666666667,,,0.0,62.0,,credit-g,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5525383395029085,0.5561176297726748,0.11475409836065574,,,0.0,0.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7598625066102591,0.7450681525718069,0.6229508196721312,0.3761467889908257,0.06422018348623854,,,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6740084611316763,0.7111022747982836,0.3770491803278688,,,0.0,109.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
