deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method
44,0.5247761194029851,0.46907993966817496,0.08955223880597014,0.5,0.45454545454545453,pima,hgb,13,global_top_loss
44,0.6111044776119403,0.6135265700483092,0.3582089552238806,0.2727272727272727,0.022727272727272728,pima,hgb,13,class_proportional
44,0.5466268656716418,0.5123809523809524,0.14925373134328357,1.0,0.0,pima,hgb,13,oracle_deletion
44,0.6111044776119403,0.6135265700483092,0.3582089552238806,0.2727272727272727,0.022727272727272728,pima,hgb,13,crcc_p_l0
44,0.6111044776119403,0.6135265700483092,0.3582089552238806,0.2727272727272727,0.022727272727272728,pima,hgb,13,crcc_p_l025
44,0.6111044776119403,0.6135265700483092,0.3582089552238806,0.2727272727272727,0.022727272727272728,pima,hgb,13,crcc_p_l05
44,0.6111044776119403,0.6135265700483092,0.3582089552238806,0.2727272727272727,0.022727272727272728,pima,hgb,13,crcc_p_l10
44,0.6036417910447761,0.6048449677789399,0.34328358208955223,0.1590909090909091,0.022727272727272728,pima,hgb,13,crcc_m
0,0.6028656716417911,0.5936507936507937,0.2537313432835821,0.0,0.0,pima,hgb,29,no_cleaning
44,0.5684776119402986,0.5501133786848073,0.208955223880597,0.09090909090909091,0.09090909090909091,pima,hgb,29,random_deletion
44,0.5666268656716418,0.5298609670056028,0.14925373134328357,0.5681818181818182,0.4090909090909091,pima,hgb,29,global_top_loss
44,0.6196417910447761,0.6218774833293024,0.34328358208955223,0.29545454545454547,0.022727272727272728,pima,hgb,29,class_proportional
44,0.5506268656716418,0.5158307649201457,0.14925373134328357,1.0,0.0,pima,hgb,29,oracle_deletion
44,0.6196417910447761,0.6218774833293024,0.34328358208955223,0.29545454545454547,0.022727272727272728,pima,hgb,29,crcc_p_l0
44,0.6196417910447761,0.6218774833293024,0.34328358208955223,0.29545454545454547,0.022727272727272728,pima,hgb,29,crcc_p_l025
44,0.6196417910447761,0.6218774833293024,0.34328358208955223,0.29545454545454547,0.022727272727272728,pima,hgb,29,crcc_p_l05
44,0.6196417910447761,0.6218774833293024,0.34328358208955223,0.29545454545454547,0.022727272727272728,pima,hgb,29,crcc_p_l10
44,0.6191044776119403,0.6220985475770326,0.3582089552238806,0.20454545454545456,0.022727272727272728,pima,hgb,29,crcc_m
0,0.5237014925373135,0.4819047619047619,0.11940298507462686,0.0,0.0,pima,hgb,47,no_cleaning
44,0.5357014925373134,0.49150470602615814,0.11940298507462686,0.1590909090909091,0.13636363636363635,pima,hgb,47,random_deletion
44,0.5202388059701493,0.47278307220158294,0.1044776119402985,0.5,0.4772727272727273,pima,hgb,47,global_top_loss
44,0.5881791044776119,0.5877616747181964,0.3283582089552239,0.18181818181818182,0.09090909090909091,pima,hgb,47,class_proportional
44,0.5804776119402985,0.5615929409032857,0.208955223880597,1.0,0.0,pima,hgb,47,oracle_deletion
44,0.5881791044776119,0.5877616747181964,0.3283582089552239,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l0
44,0.5881791044776119,0.5877616747181964,0.3283582089552239,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l025
44,0.5881791044776119,0.5877616747181964,0.3283582089552239,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l05
44,0.5881791044776119,0.5877616747181964,0.3283582089552239,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l10
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.1590909090909091,0.022727272727272728,pima,hgb,47,crcc_m
0,0.542089552238806,0.5135135135135135,0.16417910447761194,0.0,0.0,pima,hgb,61,no_cleaning
44,0.5117014925373135,0.4724254034598862,0.11940298507462686,0.13636363636363635,0.13636363636363635,pima,hgb,61,random_deletion
44,0.5631641791044776,0.5207919116713905,0.13432835820895522,0.5454545454545454,0.45454545454545453,pima,hgb,61,global_top_loss
44,0.5961791044776119,0.5960363784444143,0.3283582089552239,0.29545454545454547,0.045454545454545456,pima,hgb,61,class_proportional
44,0.570089552238806,0.538442733162205,0.16417910447761194,1.0,0.0,pima,hgb,61,oracle_deletion
44,0.5961791044776119,0.5960363784444143,0.3283582089552239,0.29545454545454547,0.045454545454545456,pima,hgb,61,crcc_p_l0
44,0.5961791044776119,0.5960363784444143,0.3283582089552239,0.29545454545454547,0.045454545454545456,pima,hgb,61,crcc_p_l025
44,0.5961791044776119,0.5960363784444143,0.3283582089552239,0.29545454545454547,0.045454545454545456,pima,hgb,61,crcc_p_l05
44,0.5961791044776119,0.5960363784444143,0.3283582089552239,0.29545454545454547,0.045454545454545456,pima,hgb,61,crcc_p_l10
