deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,noise_level
44,0.7041194029850746,0.7116756350894757,0.5522388059701493,0.1590909090909091,0.06818181818181818,pima,hgb,83,class_proportional,low
29,0.6844179104477612,0.6967032967032967,0.43283582089552236,1.0,0.0,pima,hgb,83,oracle_deletion,low
44,0.7041194029850746,0.7116756350894757,0.5522388059701493,0.1590909090909091,0.06818181818181818,pima,hgb,83,crcc_p_l0,low
44,0.7041194029850746,0.7116756350894757,0.5522388059701493,0.1590909090909091,0.06818181818181818,pima,hgb,83,crcc_p_l025,low
44,0.7041194029850746,0.7116756350894757,0.5522388059701493,0.1590909090909091,0.06818181818181818,pima,hgb,83,crcc_p_l05,low
44,0.7041194029850746,0.7116756350894757,0.5522388059701493,0.1590909090909091,0.06818181818181818,pima,hgb,83,crcc_p_l10,low
44,0.7075820895522388,0.7141439205955336,0.5671641791044776,0.13636363636363635,0.022727272727272728,pima,hgb,83,crcc_m,low
0,0.5638095238095239,0.5365689248399056,0.13333333333333333,0.0,0.0,credit-g,lr,13,no_cleaning,low
62,0.5809523809523809,0.5663956639566395,0.17333333333333334,0.11290322580645161,0.12903225806451613,credit-g,lr,13,random_deletion,low
62,0.6123809523809524,0.6158593415451271,0.25333333333333335,0.4032258064516129,0.5967741935483871,credit-g,lr,13,global_top_loss,low
62,0.6552380952380952,0.6675531914893618,0.41333333333333333,0.1774193548387097,0.08064516129032258,credit-g,lr,13,class_proportional,low
45,0.5961904761904762,0.5938673977053508,0.22666666666666666,1.0,0.0,credit-g,lr,13,oracle_deletion,low
62,0.6552380952380952,0.6675531914893618,0.41333333333333333,0.1774193548387097,0.08064516129032258,credit-g,lr,13,crcc_p_l0,low
62,0.6552380952380952,0.6675531914893618,0.41333333333333333,0.1774193548387097,0.08064516129032258,credit-g,lr,13,crcc_p_l025,low
62,0.6552380952380952,0.6675531914893618,0.41333333333333333,0.1774193548387097,0.08064516129032258,credit-g,lr,13,crcc_p_l05,low
62,0.6552380952380952,0.6675531914893618,0.41333333333333333,0.1774193548387097,0.08064516129032258,credit-g,lr,13,crcc_p_l10,low
62,0.6580952380952381,0.6711306635612775,0.41333333333333333,0.14516129032258066,0.016129032258064516,credit-g,lr,13,crcc_m,low
0,0.5457142857142857,0.514748899641871,0.12,0.0,0.0,credit-g,lr,29,no_cleaning,low
62,0.5723809523809524,0.5574753639269768,0.17333333333333334,0.03225806451612903,0.0967741935483871,credit-g,lr,29,random_deletion,low
62,0.5561904761904762,0.5337809036658142,0.14666666666666667,0.2903225806451613,0.6935483870967742,credit-g,lr,29,global_top_loss,low
62,0.6028571428571429,0.6085048192505349,0.32,0.11290322580645161,0.08064516129032258,credit-g,lr,29,class_proportional,low
27,0.5714285714285714,0.5528455284552846,0.16,1.0,0.0,credit-g,lr,29,oracle_deletion,low
62,0.6028571428571429,0.6085048192505349,0.32,0.11290322580645161,0.08064516129032258,credit-g,lr,29,crcc_p_l0,low
