dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std,deleted_mean,deleted_std
pima,hgb,crcc_p_l0,0.6157970149253732,0.029565370216885253,0.6182942028206495,0.033077503653437354,0.3611940298507462,0.04994985233039256,0.2590909090909091,0.04712827580301754,0.03636363636363634,0.03446761565477977,44.0,0.0
pima,hgb,crcc_p_l025,0.6157970149253732,0.029565370216885253,0.6182942028206495,0.033077503653437354,0.3611940298507462,0.04994985233039256,0.2590909090909091,0.04712827580301754,0.03636363636363634,0.03446761565477977,44.0,0.0
pima,hgb,crcc_p_l05,0.6157970149253732,0.029565370216885253,0.6182942028206495,0.033077503653437354,0.3611940298507462,0.04994985233039256,0.2590909090909091,0.04712827580301754,0.03636363636363634,0.03446761565477977,44.0,0.0
pima,hgb,crcc_p_l10,0.6157970149253732,0.029565370216885253,0.6182942028206495,0.033077503653437354,0.3611940298507462,0.04994985233039256,0.2590909090909091,0.04712827580301754,0.03636363636363634,0.03446761565477977,44.0,0.0
pima,hgb,global_top_loss,0.5525492537313432,0.029063266651883846,0.5129994926056647,0.043097089636500836,0.14029850746268652,0.052345307214179626,0.55,0.05659045271813058,0.4227272727272727,0.06347381838076792,44.0,0.0
pima,hgb,no_cleaning,0.5597373134328358,0.033646084298754514,0.5346324115372412,0.04746021812473847,0.1850746268656716,0.058380917061516296,0.0,0.0,0.0,0.0,0.0,0.0
pima,hgb,oracle_deletion,0.5747223880597014,0.031751165513607356,0.550184625665608,0.04508960072722324,0.19104477611940293,0.0572247448139726,1.0,0.0,0.0,0.0,44.0,0.0
pima,hgb,random_deletion,0.5482746268656716,0.031241386605332308,0.5195225065179734,0.04492285475973608,0.17014925373134324,0.059327184818960606,0.12727272727272726,0.025913077843162224,0.11363636363636358,0.032141217326661246,44.0,0.0
pima,lr,class_proportional,0.6993313432835822,0.04256024309981704,0.7101494162348818,0.04605313411900705,0.5074626865671641,0.056834127655700846,0.3363636363636363,0.03370999312316209,0.03636363636363634,0.03803000120609434,44.0,0.0
pima,lr,crcc_m,0.7037014925373135,0.0411226940200451,0.7142016400781108,0.043929164160255336,0.5194029850746269,0.05913914255569835,0.2636363636363636,0.04430361065822257,0.01818181818181816,0.019015000603047148,44.0,0.0
pima,lr,crcc_p_l0,0.6993313432835822,0.04256024309981704,0.7101494162348818,0.04605313411900705,0.5074626865671641,0.056834127655700846,0.3363636363636363,0.03370999312316209,0.03636363636363634,0.03803000120609434,44.0,0.0
pima,lr,crcc_p_l025,0.6993313432835822,0.04256024309981704,0.7101494162348818,0.04605313411900705,0.5074626865671641,0.056834127655700846,0.3363636363636363,0.03370999312316209,0.03636363636363634,0.03803000120609434,44.0,0.0
pima,lr,crcc_p_l05,0.6993313432835822,0.04256024309981704,0.7101494162348818,0.04605313411900705,0.5074626865671641,0.056834127655700846,0.3363636363636363,0.03370999312316209,0.03636363636363634,0.03803000120609434,44.0,0.0
pima,lr,crcc_p_l10,0.6993313432835822,0.04256024309981704,0.7101494162348818,0.04605313411900705,0.5074626865671641,0.056834127655700846,0.3363636363636363,0.03370999312316209,0.03636363636363634,0.03803000120609434,44.0,0.0
pima,lr,global_top_loss,0.5664119402985074,0.03854901379661304,0.5283638385984653,0.06279599262372854,0.1552238805970149,0.08283245925678574,0.6272727272727272,0.06140570948230141,0.3681818181818181,0.058828086843385405,44.0,0.0
pima,lr,no_cleaning,0.5384835820895522,0.020330992443344832,0.4768709672143302,0.035242118657796445,0.0865671641791044,0.0386333704643128,0.0,0.0,0.0,0.0,0.0,0.0
pima,lr,oracle_deletion,0.5568716417910448,0.02494524545202187,0.5129444945537058,0.0400665583954876,0.13134328358208952,0.04882217084715262,1.0,0.0,0.0,0.0,44.0,0.0
pima,lr,random_deletion,0.5369910447761195,0.01942091479276498,0.47437188854146956,0.03270937894465979,0.08358208955223875,0.034360789352899525,0.12727272727272726,0.025913077843162224,0.11363636363636358,0.032141217326661246,44.0,0.0
sick,hgb,class_proportional,0.9229612312487824,0.03012735261464525,0.8501583155014194,0.026694496025899486,0.8827586206896552,0.05897459095340373,0.2826855123674911,0.011982915164532305,0.00070671378091872,0.0015802600547701517,283.0,0.0
sick,hgb,crcc_m,0.927455678940191,0.02597851827906864,0.8494186955175241,0.021483591755763858,0.8931034482758621,0.05085476277156086,0.21413427561837453,0.011340499318643948,0.00070671378091872,0.0015802600547701517,283.0,0.0
sick,hgb,crcc_p_l0,0.9229612312487824,0.03012735261464525,0.8501583155014194,0.026694496025899486,0.8827586206896552,0.05897459095340373,0.2826855123674911,0.011982915164532305,0.00070671378091872,0.0015802600547701517,283.0,0.0
sick,hgb,crcc_p_l025,0.9229612312487824,0.03012735261464525,0.8501583155014194,0.026694496025899486,0.8827586206896552,0.05897459095340373,0.2826855123674911,0.011982915164532305,0.00070671378091872,0.0015802600547701517,283.0,0.0
sick,hgb,crcc_p_l05,0.9229612312487824,0.03012735261464525,0.8501583155014194,0.026694496025899486,0.8827586206896552,0.05897459095340373,0.2826855123674911,0.011982915164532305,0.00070671378091872,0.0015802600547701517,283.0,0.0
sick,hgb,crcc_p_l10,0.9229612312487824,0.03012735261464525,0.8501583155014194,0.026694496025899486,0.8827586206896552,0.05897459095340373,0.2826855123674911,0.011982915164532305,0.00070671378091872,0.0015802600547701517,283.0,0.0
sick,hgb,global_top_loss,0.8099220728618741,0.054519464484301554,0.8600396850176356,0.037605202913251666,0.6241379310344828,0.11133713304112378,0.9243816254416961,0.013593910997647568,0.06360424028268548,0.016761189011493177,283.0,0.0
sick,hgb,no_cleaning,0.8031969608416132,0.033126138349362434,0.8367597997649956,0.025574235597594957,0.6172413793103448,0.06721927134351009,0.0,0.0,0.0,0.0,0.0,0.0
