deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,method
0,0.631044776119403,0.62426614481409,0.582089552238806,,,0.0,0.0,,pima,hgb,17,reverse_asymmetric,0.1,0.3,class_weight_only
0,0.7032835820895522,0.6921667430142007,0.6865671641791045,,,5.0,0.0,1.0,pima,hgb,17,reverse_asymmetric,0.1,0.3,oracle_relabel
0,0.6009552238805971,0.603553998248029,0.417910447761194,,,0.0,0.0,,pima,hgb,17,symmetric,0.2,0.2,no_cleaning
44,0.6214925373134328,0.6257309941520468,0.40298507462686567,0.7045454545454546,0.1590909090909091,,,,pima,hgb,17,symmetric,0.2,0.2,global_top_loss
44,0.630268656716418,0.6322845417236662,0.4925373134328358,0.2727272727272727,0.045454545454545456,,,,pima,hgb,17,symmetric,0.2,0.2,class_proportional
0,0.7062089552238806,0.6903488668194551,0.7164179104477612,,,44.0,0.0,0.0,pima,hgb,17,symmetric,0.2,0.2,balanced_oof_relabel
0,0.6907462686567165,0.6747600225861095,0.7014925373134329,,,44.0,0.0,0.022727272727272728,pima,hgb,17,symmetric,0.2,0.2,unbalanced_oof_relabel
0,0.6361194029850746,0.6335339891352225,0.5522388059701493,,,44.0,0.0,0.0,pima,hgb,17,symmetric,0.2,0.2,shuffled_score_relabel
0,0.532955223880597,0.5320510938188225,0.417910447761194,,,44.0,0.0,0.0,pima,hgb,17,symmetric,0.2,0.2,inverted_score_relabel
0,0.5801194029850747,0.5708343943638061,0.5522388059701493,,,44.0,0.0,0.06818181818181818,pima,hgb,17,symmetric,0.2,0.2,random_relabel
0,0.6009552238805971,0.603553998248029,0.417910447761194,,,0.0,0.0,,pima,hgb,17,symmetric,0.2,0.2,class_weight_only
0,0.6108059701492538,0.6118637419666294,0.47761194029850745,,,10.0,0.0,1.0,pima,hgb,17,symmetric,0.2,0.2,oracle_relabel
