deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method
107,0.7048955223880597,0.7011892526794891,0.6417910447761194,0.2897196261682243,0.14953271028037382,pima,hgb,61,crcc_p_l10
107,0.7062089552238806,0.6903488668194551,0.7164179104477612,0.2616822429906542,0.04672897196261682,pima,hgb,61,crcc_m
0,0.6214925373134328,0.6257309941520468,0.40298507462686567,0.0,0.0,pima,hgb,83,no_cleaning
107,0.6684179104477612,0.677938808373591,0.43283582089552236,0.14953271028037382,0.24299065420560748,pima,hgb,83,random_deletion
107,0.6625671641791044,0.6711859569002426,0.373134328358209,0.308411214953271,0.5046728971962616,pima,hgb,83,global_top_loss
107,0.7185074626865671,0.7235209412053065,0.5970149253731343,0.2897196261682243,0.14953271028037382,pima,hgb,83,class_proportional
76,0.7374328358208955,0.7421875,0.6268656716417911,1.0,0.0,pima,hgb,83,oracle_deletion
107,0.7185074626865671,0.7235209412053065,0.5970149253731343,0.2897196261682243,0.14953271028037382,pima,hgb,83,crcc_p_l0
107,0.7185074626865671,0.7235209412053065,0.5970149253731343,0.2897196261682243,0.14953271028037382,pima,hgb,83,crcc_p_l025
107,0.7185074626865671,0.7235209412053065,0.5970149253731343,0.2897196261682243,0.14953271028037382,pima,hgb,83,crcc_p_l05
107,0.7185074626865671,0.7235209412053065,0.5970149253731343,0.2897196261682243,0.14953271028037382,pima,hgb,83,crcc_p_l10
107,0.7088955223880598,0.7059031459879817,0.6417910447761194,0.2616822429906542,0.056074766355140186,pima,hgb,83,crcc_m
0,0.6295238095238095,0.639843589215888,0.3333333333333333,0.0,0.0,credit-g,lr,13,no_cleaning
150,0.6561904761904762,0.6708397491687309,0.38666666666666666,0.10666666666666667,0.20666666666666667,credit-g,lr,13,random_deletion
150,0.6466666666666667,0.6596817745642811,0.37333333333333335,0.38,0.5466666666666666,credit-g,lr,13,global_top_loss
150,0.7295238095238095,0.7131382673551349,0.6933333333333334,0.3466666666666667,0.15333333333333332,credit-g,lr,13,class_proportional
119,0.6742857142857143,0.6890013726835964,0.44,1.0,0.0,credit-g,lr,13,oracle_deletion
150,0.7295238095238095,0.7131382673551349,0.6933333333333334,0.3466666666666667,0.15333333333333332,credit-g,lr,13,crcc_p_l0
150,0.7295238095238095,0.7131382673551349,0.6933333333333334,0.3466666666666667,0.15333333333333332,credit-g,lr,13,crcc_p_l025
150,0.7295238095238095,0.7131382673551349,0.6933333333333334,0.3466666666666667,0.15333333333333332,credit-g,lr,13,crcc_p_l05
150,0.7295238095238095,0.7131382673551349,0.6933333333333334,0.3466666666666667,0.15333333333333332,credit-g,lr,13,crcc_p_l10
150,0.7161904761904763,0.6832408739127458,0.7466666666666667,0.32666666666666666,0.04666666666666667,credit-g,lr,13,crcc_m
0,0.6095238095238096,0.6125,0.25333333333333335,0.0,0.0,credit-g,lr,29,no_cleaning
150,0.6142857142857143,0.6166341780376868,0.24,0.12666666666666668,0.24666666666666667,credit-g,lr,29,random_deletion
150,0.6219047619047618,0.628454117232172,0.26666666666666666,0.29333333333333333,0.6266666666666667,credit-g,lr,29,global_top_loss
150,0.7114285714285714,0.7106206948898461,0.6,0.3333333333333333,0.14666666666666667,credit-g,lr,29,class_proportional
105,0.6580952380952381,0.6741441997667559,0.37333333333333335,1.0,0.0,credit-g,lr,29,oracle_deletion
150,0.7114285714285714,0.7106206948898461,0.6,0.3333333333333333,0.14666666666666667,credit-g,lr,29,crcc_p_l0
150,0.7114285714285714,0.7106206948898461,0.6,0.3333333333333333,0.14666666666666667,credit-g,lr,29,crcc_p_l025
150,0.7114285714285714,0.7106206948898461,0.6,0.3333333333333333,0.14666666666666667,credit-g,lr,29,crcc_p_l05
150,0.7114285714285714,0.7106206948898461,0.6,0.3333333333333333,0.14666666666666667,credit-g,lr,29,crcc_p_l10
150,0.7161904761904762,0.7024024240675276,0.6666666666666666,0.3,0.06666666666666667,credit-g,lr,29,crcc_m
0,0.5419047619047619,0.5059976065236147,0.10666666666666667,0.0,0.0,credit-g,lr,47,no_cleaning
150,0.5314285714285715,0.48489010989010983,0.08,0.19333333333333333,0.18,credit-g,lr,47,random_deletion
150,0.5552380952380952,0.5284179447223817,0.13333333333333333,0.34,0.6333333333333333,credit-g,lr,47,global_top_loss
150,0.7180952380952381,0.7164246823956443,0.6133333333333333,0.37333333333333335,0.13333333333333333,credit-g,lr,47,class_proportional
120,0.6019047619047619,0.604922900105354,0.26666666666666666,1.0,0.0,credit-g,lr,47,oracle_deletion
150,0.7180952380952381,0.7164246823956443,0.6133333333333333,0.37333333333333335,0.13333333333333333,credit-g,lr,47,crcc_p_l0
