deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,lamda,budget,target_ratio
0,0.7587462686567163,0.7760416666666666,0.7560211590177015,0.7771336943566102,0.7014925373134329,0.6714285714285714,0.816,0.7490742176478535,,,0,44,,pima,lr,47,hidden_minority_medium,20,0.1,0.15
0,0.7496716417910447,0.7552083333333334,0.7396046746501226,0.7588602534506804,0.7313432835820896,0.6282051282051282,0.768,0.7518038655124194,,,0,44,,pima,lr,47,hidden_minority_medium,30,0.1,0.15
0,0.7462089552238806,0.7552083333333334,0.7381539622203523,0.7583407688438809,0.7164179104477612,0.631578947368421,0.776,0.7564231080450602,,,0,44,,pima,lr,47,hidden_minority_medium,50,0.1,0.15
0,0.7656716417910447,0.7760416666666666,0.7590403642413099,0.7783751787642647,0.7313432835820896,0.6621621621621622,0.8,0.7582403059964979,,,0,44,,pima,lr,47,hidden_minority_medium,100,0.1,0.15
0,0.6526567164179105,0.6875,0.6536796536796536,0.6863726551226551,0.5373134328358209,0.5538461538461539,0.768,0.6268498022855071,,,0,44,,pima,lr,53,hidden_minority_medium,10,0.1,0.15
0,0.6755820895522389,0.7083333333333334,0.6767676767676768,0.7072811447811448,0.5671641791044776,0.5846153846153846,0.784,0.6138155379244449,,,0,44,,pima,lr,53,hidden_minority_medium,20,0.1,0.15
0,0.6571940298507463,0.6979166666666666,0.66015625,0.6943766276041666,0.5223880597014925,0.5737704918032787,0.792,0.6016291341469577,,,0,44,,pima,lr,53,hidden_minority_medium,30,0.1,0.15
0,0.650268656716418,0.6979166666666666,0.6545905707196029,0.6915451819685691,0.4925373134328358,0.5789473684210527,0.808,0.6310431913936629,,,0,44,,pima,lr,53,hidden_minority_medium,50,0.1,0.15
0,0.6657313432835821,0.7135416666666666,0.6710587795533127,0.7067690324891754,0.5074626865671642,0.6071428571428571,0.824,0.6444619068335387,,,0,44,,pima,lr,53,hidden_minority_medium,100,0.1,0.15
0,0.6533333333333333,0.712,0.6544840294840295,0.7108722358722358,0.5066666666666667,0.5205479452054794,0.8,0.584423440668119,,,0,62,,credit-g,lr,13,hidden_minority_medium,10,0.1,0.15
0,0.6428571428571429,0.724,0.649923896499239,0.714337899543379,0.44,0.55,0.8457142857142858,0.5623549631010492,,,0,62,,credit-g,lr,13,hidden_minority_medium,20,0.1,0.15
0,0.6590476190476191,0.72,0.6614039161055646,0.7177463044655986,0.5066666666666667,0.5352112676056338,0.8114285714285714,0.5832238876593832,,,0,62,,credit-g,lr,13,hidden_minority_medium,30,0.1,0.15
0,0.6409523809523809,0.732,0.6500135815625065,0.7177709521720053,0.41333333333333333,0.5740740740740741,0.8685714285714285,0.5614436438138929,,,0,62,,credit-g,lr,13,hidden_minority_medium,50,0.1,0.15
0,0.6371428571428571,0.716,0.6430797691580704,0.7076109468942913,0.44,0.532258064516129,0.8342857142857143,0.5566017221363144,,,0,62,,credit-g,lr,13,hidden_minority_medium,100,0.1,0.15
0,0.6390476190476191,0.676,0.6313557007882616,0.6826709872385357,0.5466666666666666,0.4659090909090909,0.7314285714285714,0.5071437179518188,,,0,62,,credit-g,lr,17,hidden_minority_medium,10,0.1,0.15
0,0.6295238095238096,0.668,0.6222533724126632,0.6748357029728204,0.5333333333333333,0.45454545454545453,0.7257142857142858,0.49845753184417013,,,0,62,,credit-g,lr,17,hidden_minority_medium,20,0.1,0.15
0,0.6638095238095238,0.684,0.6489450576796602,0.6933184023889511,0.6133333333333333,0.4791666666666667,0.7142857142857143,0.5202318044225243,,,0,62,,credit-g,lr,17,hidden_minority_medium,30,0.1,0.15
0,0.6676190476190476,0.684,0.6508811935443954,0.6938926304997259,0.6266666666666667,0.47959183673469385,0.7085714285714285,0.517154018292919,,,0,62,,credit-g,lr,17,hidden_minority_medium,50,0.1,0.15
0,0.6228571428571429,0.648,0.6100397050482133,0.6587067498581962,0.56,0.4329896907216495,0.6857142857142857,0.5059388489342147,,,0,62,,credit-g,lr,17,hidden_minority_medium,100,0.1,0.15
0,0.5942857142857143,0.624,0.5834515031196823,0.635436755530346,0.52,0.4020618556701031,0.6685714285714286,0.45531683628836,,,0,62,,credit-g,lr,23,hidden_minority_medium,10,0.1,0.15
0,0.6104761904761905,0.668,0.609161628147897,0.6698197434593434,0.4666666666666667,0.44871794871794873,0.7542857142857143,0.46845842940028526,,,0,62,,credit-g,lr,23,hidden_minority_medium,20,0.1,0.15
0,0.6333333333333333,0.684,0.6306685366993923,0.6868069191210847,0.5066666666666667,0.475,0.76,0.4826817097830036,,,0,62,,credit-g,lr,23,hidden_minority_medium,30,0.1,0.15
0,0.5866666666666667,0.656,0.5873003685503686,0.6546529484029484,0.41333333333333333,0.4246575342465753,0.76,0.46530798634238546,,,0,62,,credit-g,lr,23,hidden_minority_medium,50,0.1,0.15
0,0.6066666666666667,0.668,0.606254388128807,0.668623693049204,0.4533333333333333,0.4473684210526316,0.76,0.45940765869407363,,,0,62,,credit-g,lr,23,hidden_minority_medium,100,0.1,0.15
0,0.5761904761904761,0.604,0.5648351648351648,0.6170549450549451,0.5066666666666667,0.38,0.6457142857142857,0.41727932770464926,,,0,62,,credit-g,lr,29,hidden_minority_medium,10,0.1,0.15
0,0.6019047619047619,0.624,0.5878928170594837,0.6366863075196408,0.5466666666666666,0.40594059405940597,0.6571428571428571,0.4356605016202449,,,0,62,,credit-g,lr,29,hidden_minority_medium,20,0.1,0.15
0,0.6114285714285714,0.632,0.5966610549943883,0.6444163860830526,0.56,0.4158415841584158,0.6628571428571428,0.4576182696324507,,,0,62,,credit-g,lr,29,hidden_minority_medium,30,0.1,0.15
0,0.6247619047619047,0.656,0.6145295467584624,0.6651032702237522,0.5466666666666666,0.44086021505376344,0.7028571428571428,0.4427487603333511,,,0,62,,credit-g,lr,29,hidden_minority_medium,50,0.1,0.15
0,0.6133333333333333,0.64,0.6011769710720363,0.6509500850822463,0.5466666666666666,0.422680412371134,0.68,0.4519453332219143,,,0,62,,credit-g,lr,29,hidden_minority_medium,100,0.1,0.15
0,0.64,0.688,0.6366279069767442,0.6912790697674419,0.52,0.48148148148148145,0.76,0.5343017179103734,,,0,62,,credit-g,lr,31,hidden_minority_medium,10,0.1,0.15
0,0.6542857142857142,0.676,0.6400575907854743,0.6855543113101903,0.6,0.46875,0.7085714285714285,0.5347450525629796,,,0,62,,credit-g,lr,31,hidden_minority_medium,20,0.1,0.15
0,0.641904761904762,0.664,0.6277651730005672,0.6742200794100964,0.5866666666666667,0.4536082474226804,0.6971428571428572,0.5309339747339014,,,0,62,,credit-g,lr,31,hidden_minority_medium,30,0.1,0.15
0,0.6504761904761904,0.66,0.6301710785081536,0.6721836439896274,0.6266666666666667,0.4519230769230769,0.6742857142857143,0.5391633313121694,,,0,62,,credit-g,lr,31,hidden_minority_medium,50,0.1,0.15
0,0.6428571428571429,0.676,0.6336499321573947,0.6834735413839891,0.56,0.4666666666666667,0.7257142857142858,0.5468153504843422,,,0,62,,credit-g,lr,31,hidden_minority_medium,100,0.1,0.15
0,0.638095238095238,0.664,0.625668449197861,0.6735828877005348,0.5733333333333334,0.45263157894736844,0.7028571428571428,0.5398184296670917,,,0,62,,credit-g,lr,37,hidden_minority_medium,10,0.1,0.15
0,0.6495238095238096,0.68,0.6392756655363971,0.6877570160883052,0.5733333333333334,0.4725274725274725,0.7257142857142858,0.5600584352326974,,,0,62,,credit-g,lr,37,hidden_minority_medium,20,0.1,0.15
0,0.6390476190476191,0.66,0.6243658411553623,0.6706439695250216,0.5866666666666667,0.4489795918367347,0.6914285714285714,0.5613870969931082,,,0,62,,credit-g,lr,37,hidden_minority_medium,30,0.1,0.15
0,0.6419047619047619,0.68,0.6347432244868143,0.6861713784790707,0.5466666666666666,0.47126436781609193,0.7371428571428571,0.5404014346720303,,,0,62,,credit-g,lr,37,hidden_minority_medium,50,0.1,0.15
0,0.6304761904761904,0.664,0.6212394488132169,0.6721448668927206,0.5466666666666666,0.45054945054945056,0.7142857142857143,0.5359494661289166,,,0,62,,credit-g,lr,37,hidden_minority_medium,100,0.1,0.15
0,0.6857142857142857,0.688,0.6614583333333333,0.699375,0.68,0.4857142857142857,0.6914285714285714,0.5036857203464764,,,0,62,,credit-g,lr,41,hidden_minority_medium,10,0.1,0.15
0,0.6838095238095239,0.696,0.6650447782243847,0.7057753331922995,0.6533333333333333,0.494949494949495,0.7142857142857143,0.4942182318666459,,,0,62,,credit-g,lr,41,hidden_minority_medium,20,0.1,0.15
0,0.680952380952381,0.692,0.6615384615384616,0.7021538461538462,0.6533333333333333,0.49,0.7085714285714285,0.5129329758451757,,,0,62,,credit-g,lr,41,hidden_minority_medium,30,0.1,0.15
0,0.6933333333333334,0.688,0.6646257567418823,0.7000412768299396,0.7066666666666667,0.48623853211009177,0.68,0.5117032183763103,,,0,62,,credit-g,lr,41,hidden_minority_medium,50,0.1,0.15
0,0.6704761904761904,0.688,0.6543533749290982,0.6974900737379467,0.6266666666666667,0.4845360824742268,0.7142857142857143,0.5053354702872455,,,0,62,,credit-g,lr,41,hidden_minority_medium,100,0.1,0.15
0,0.5952380952380952,0.588,0.5670449768810424,0.6051450189155108,0.6133333333333333,0.38333333333333336,0.5771428571428572,0.514844228982299,,,0,62,,credit-g,lr,43,hidden_minority_medium,10,0.1,0.15
0,0.5933333333333334,0.58,0.5617622998714503,0.59752249620194,0.6266666666666667,0.3790322580645161,0.56,0.5083834884494711,,,0,62,,credit-g,lr,43,hidden_minority_medium,20,0.1,0.15
0,0.6047619047619048,0.596,0.5754518705338377,0.61281210592686,0.6266666666666667,0.39166666666666666,0.5828571428571429,0.5326672242237381,,,0,62,,credit-g,lr,43,hidden_minority_medium,30,0.1,0.15
0,0.6152380952380951,0.616,0.5908346972176759,0.6314238952536824,0.6133333333333333,0.40707964601769914,0.6171428571428571,0.5269227381007014,,,0,62,,credit-g,lr,43,hidden_minority_medium,50,0.1,0.15
0,0.6247619047619049,0.624,0.5993589743589743,0.639102564102564,0.6266666666666667,0.415929203539823,0.6228571428571429,0.5204809231264615,,,0,62,,credit-g,lr,43,hidden_minority_medium,100,0.1,0.15
0,0.699047619047619,0.712,0.680941576857629,0.720760068065797,0.6666666666666666,0.5154639175257731,0.7314285714285714,0.5314720745982306,,,0,62,,credit-g,lr,47,hidden_minority_medium,10,0.1,0.15
