deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method,noise_level,mn_to_maj,maj_to_min
0,0.5293134328358209,0.4643417611159547,0.07462686567164178,,,0,0,,pima,lr,43,no_cleaning,high,0.4,0.2
44,0.6886567164179105,0.6949817774039809,0.5373134328358209,0.4090909090909091,0.045454545454545456,0,0,,pima,lr,43,class_proportional,high,0.4,0.2
0,0.7128955223880598,0.710629746741925,0.6417910447761194,,,44,0,0.20454545454545456,pima,lr,43,balanced_oof_relabel,high,0.4,0.2
0,0.6356417910447761,0.6393407761828814,0.34328358208955223,,,44,0,0.045454545454545456,pima,lr,43,random_relabel,high,0.4,0.2
0,0.6114029850746269,0.599606531575841,0.23880597014925373,,,0,0,,pima,lr,47,no_cleaning,low,0.1,0.05
44,0.7046567164179105,0.7138417631203424,0.5373134328358209,0.1590909090909091,0.06818181818181818,0,0,,pima,lr,47,class_proportional,low,0.1,0.05
0,0.691044776119403,0.6929668406601696,0.582089552238806,,,44,0,0.045454545454545456,pima,lr,47,balanced_oof_relabel,low,0.1,0.05
0,0.6114029850746269,0.599606531575841,0.23880597014925373,,,44,0,0.0,pima,lr,47,random_relabel,low,0.1,0.05
0,0.5333134328358209,0.467206977051491,0.07462686567164178,,,0,0,,pima,lr,47,no_cleaning,medium,0.3,0.1
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,0,0,,pima,lr,47,class_proportional,medium,0.3,0.1
0,0.6955820895522388,0.6999908085419284,0.5671641791044776,,,44,0,0.18181818181818182,pima,lr,47,balanced_oof_relabel,medium,0.3,0.1
0,0.5442388059701493,0.4914559125085441,0.1044776119402985,,,44,0,0.045454545454545456,pima,lr,47,random_relabel,medium,0.3,0.1
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,47,no_cleaning,high,0.4,0.2
44,0.7142686567164179,0.7294685990338164,0.4925373134328358,0.45454545454545453,0.0,0,0,,pima,lr,47,class_proportional,high,0.4,0.2
0,0.7323582089552239,0.7315484158857652,0.6567164179104478,,,44,0,0.20454545454545456,pima,lr,47,balanced_oof_relabel,high,0.4,0.2
0,0.5149253731343284,0.42581090407177363,0.029850746268656716,,,44,0,0.09090909090909091,pima,lr,47,random_relabel,high,0.4,0.2
0,0.562089552238806,0.5312012168274427,0.16417910447761194,,,0,0,,pima,lr,53,no_cleaning,low,0.1,0.05
44,0.6185671641791045,0.6220850708924104,0.373134328358209,0.1590909090909091,0.045454545454545456,0,0,,pima,lr,53,class_proportional,low,0.1,0.05
0,0.6393432835820896,0.6440310467272099,0.4626865671641791,,,44,0,0.022727272727272728,pima,lr,53,balanced_oof_relabel,low,0.1,0.05
