deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.6097910447761195,0.7083333333333334,0.605575935436537,0.6663915382734165,0.2835820895522388,0.7037037037037037,0.936,0.669155599405268,,,0.0,44.0,,pima,random_forest,37,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.570089552238806,0.6927083333333334,0.538442733162205,0.6190499837020739,0.1641791044776119,0.7857142857142857,0.976,0.5991258835527016,,,0.0,0.0,,pima,random_forest,41,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6167164179104478,0.7083333333333334,0.6163836163836164,0.6731185481185481,0.3134328358208955,0.6774193548387096,0.92,0.6230568928066854,0.1818181818181818,0.0909090909090909,,,,pima,random_forest,41,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5551641791044776,0.6822916666666666,0.5139240506329115,0.6003428270042194,0.1343283582089552,0.75,0.976,0.6144611646774034,,,0.0,0.0,,pima,random_forest,41,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.5770149253731343,0.6927083333333334,0.5542789691127288,0.6293154469145518,0.1940298507462686,0.7222222222222222,0.96,0.5947326146939453,,,0.0,44.0,,pima,random_forest,41,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.5844776119402985,0.6979166666666666,0.5654752614328078,0.637943200145674,0.208955223880597,0.7368421052631579,0.96,0.6172238849396516,,,0.0,44.0,,pima,random_forest,41,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5626268656716418,0.6875,0.5263157894736843,0.6097861842105263,0.1492537313432835,0.7692307692307693,0.976,0.7398690524976468,,,0.0,0.0,,pima,random_forest,43,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.7222686567164178,0.7916666666666666,0.7393783086738157,0.7746425501108547,0.4925373134328358,0.8461538461538461,0.952,0.7514199032538278,0.1363636363636363,0.1136363636363636,,,,pima,random_forest,43,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5850149253731343,0.703125,0.5619421206420365,0.6370669555297602,0.1940298507462686,0.8125,0.976,0.7412447922009633,,,0.0,0.0,,pima,random_forest,43,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6217910447761194,0.7239583333333334,0.6183475227843829,0.6789953149808099,0.2835820895522388,0.7916666666666666,0.96,0.7424980008395679,,,0.0,44.0,,pima,random_forest,43,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.6143283582089551,0.71875,0.6081632653061224,0.671045918367347,0.2686567164179104,0.782608695652174,0.96,0.7486933148802448,,,0.0,44.0,,pima,random_forest,43,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5626268656716418,0.6875,0.5263157894736843,0.6097861842105263,0.1492537313432835,0.7692307692307693,0.976,0.6672247243968931,,,0.0,0.0,,pima,random_forest,47,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6678805970149254,0.734375,0.6768636768636769,0.7180446242946243,0.4477611940298507,0.6818181818181818,0.888,0.6578101893474324,0.1818181818181818,0.0681818181818181,,,,pima,random_forest,47,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5626268656716418,0.6875,0.5263157894736843,0.6097861842105263,0.1492537313432835,0.7692307692307693,0.976,0.6539506045897884,,,0.0,0.0,,pima,random_forest,47,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.6591044776119402,0.75,0.6666666666666667,0.717013888888889,0.3582089552238806,0.8275862068965517,0.96,0.6837230596088132,,,0.0,44.0,,pima,random_forest,47,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.6137910447761193,0.7135416666666666,0.6097993570557588,0.6705776798581088,0.2835820895522388,0.7307692307692307,0.944,0.6723149003311351,,,0.0,44.0,,pima,random_forest,47,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.5362388059701493,0.6666666666666666,0.4851684263448969,0.5775096363331657,0.1044776119402985,0.6363636363636364,0.968,0.5959181901520421,,,0.0,0.0,,pima,random_forest,53,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
44,0.6127164179104478,0.703125,0.6121212121212122,0.6688762626262627,0.3134328358208955,0.65625,0.912,0.6010979385486589,0.1363636363636363,0.0454545454545454,,,,pima,random_forest,53,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
0,0.5477014925373134,0.6770833333333334,0.5012569130216189,0.5907124601977544,0.1194029850746268,0.7272727272727273,0.976,0.6040756075993168,,,0.0,0.0,,pima,random_forest,53,hidden_minority_low,0.1,0.05,0.1,0.15,cwms
0,0.5914029850746269,0.6979166666666666,0.5791383219954649,0.6466789493575208,0.2388059701492537,0.6956521739130435,0.944,0.5903725769589174,,,0.0,44.0,,pima,random_forest,53,hidden_minority_low,0.1,0.05,0.1,0.15,msbs
0,0.6023283582089553,0.703125,0.5956102427668772,0.6585986863984038,0.2686567164179104,0.6923076923076923,0.936,0.6195217202906198,,,0.0,44.0,,pima,random_forest,53,hidden_minority_low,0.1,0.05,0.1,0.15,cwms_msbs
0,0.56,0.736,0.5278159340659341,0.6532280219780221,0.12,1.0,1.0,0.6032537295850094,,,0.0,0.0,,credit-g,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,no_cleaning
62,0.5780952380952381,0.724,0.5719496761706245,0.6739968733715476,0.2133333333333333,0.6153846153846154,0.9428571428571428,0.5456671927379301,0.1612903225806451,0.0967741935483871,,,,credit-g,random_forest,13,hidden_minority_low,0.1,0.05,0.1,0.15,class_proportional
