deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method
0,0.5850149253731343,0.5619421206420365,0.19402985074626866,,,44,0,0.045454545454545456,pima,lr,61,random_relabel
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0,0,,pima,lr,67,no_cleaning
44,0.652955223880597,0.6605170975813177,0.417910447761194,0.36363636363636365,0.022727272727272728,0,0,,pima,lr,67,class_proportional
0,0.6886567164179105,0.6949817774039809,0.5373134328358209,,,44,0,0.20454545454545456,pima,lr,67,balanced_oof_relabel
0,0.566089552238806,0.5348085931190438,0.16417910447761194,,,44,0,0.022727272727272728,pima,lr,67,random_relabel
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,71,no_cleaning
44,0.6734925373134328,0.6842878634153169,0.40298507462686567,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,71,class_proportional
0,0.743044776119403,0.7553205046514592,0.582089552238806,,,44,0,0.22727272727272727,pima,lr,71,balanced_oof_relabel
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,44,0,0.045454545454545456,pima,lr,71,random_relabel
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,73,no_cleaning
44,0.640179104477612,0.6433436532507739,0.3283582089552239,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,73,class_proportional
0,0.6891940298507462,0.696969696969697,0.5223880597014925,,,44,0,0.3181818181818182,pima,lr,73,balanced_oof_relabel
0,0.5327761194029851,0.4750512645249487,0.08955223880597014,,,44,0,0.06818181818181818,pima,lr,73,random_relabel
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,79,no_cleaning
44,0.5914029850746269,0.5791383219954649,0.23880597014925373,0.45454545454545453,0.045454545454545456,0,0,,pima,lr,79,class_proportional
0,0.6111044776119403,0.6135265700483092,0.3582089552238806,,,44,0,0.3409090909090909,pima,lr,79,balanced_oof_relabel
0,0.5,0.3943217665615142,0.0,,,44,0,0.09090909090909091,pima,lr,79,random_relabel
0,0.5706268656716418,0.5334338863750628,0.14925373134328357,,,0,0,,pima,lr,83,no_cleaning
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,0,0,,pima,lr,83,class_proportional
0,0.7408955223880597,0.7441550575408843,0.6417910447761194,,,44,0,0.1590909090909091,pima,lr,83,balanced_oof_relabel
0,0.5994029850746269,0.5872235872235873,0.23880597014925373,,,44,0,0.022727272727272728,pima,lr,83,random_relabel
0,0.5258507462686567,0.45299145299145294,0.05970149253731343,,,0,0,,pima,lr,89,no_cleaning
44,0.6718805970149254,0.6814863968148639,0.44776119402985076,0.4772727272727273,0.0,0,0,,pima,lr,89,class_proportional
0,0.6835820895522389,0.6860084797092671,0.5671641791044776,,,44,0,0.2727272727272727,pima,lr,89,balanced_oof_relabel
0,0.5557014925373134,0.5078605604921395,0.11940298507462686,,,44,0,0.06818181818181818,pima,lr,89,random_relabel
0,0.5666268656716418,0.5298609670056028,0.14925373134328357,,,0,0,,pima,lr,97,no_cleaning
44,0.6838805970149254,0.6955362866493471,0.44776119402985076,0.29545454545454547,0.045454545454545456,0,0,,pima,lr,97,class_proportional
0,0.7305074626865671,0.7379652605459057,0.5970149253731343,,,44,0,0.13636363636363635,pima,lr,97,balanced_oof_relabel
0,0.6217910447761194,0.6183475227843829,0.2835820895522388,,,44,0,0.0,pima,lr,97,random_relabel
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,0,0,,pima,lr,101,no_cleaning
44,0.6844179104477612,0.6967032967032967,0.43283582089552236,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,101,class_proportional
0,0.6966567164179105,0.704364767620903,0.5373134328358209,,,44,0,0.20454545454545456,pima,lr,101,balanced_oof_relabel
0,0.5671641791044776,0.5242652084757348,0.13432835820895522,,,44,0,0.045454545454545456,pima,lr,101,random_relabel
